note-text,location
嗯……确实像,广东
洋牡丹，我们叫它断头花，因为买回家插花瓶里它就会自己断头,上海
洋牡丹，,江苏
不是叫桔梗花麽,安徽
买了刚种上的晚上，我爸问我种芹菜干嘛,江苏
点赞居然是个粉色小人,广东
点赞居然是个粉色小人,广东
一二是洋牡丹,江苏
洋牡丹 仙客来 玉兰,江苏
洋牡丹啦,上海
茼蒿也有春天,陕西
花毛茛，也叫洋牡丹,安徽
那把花毛茛的叶子剪下来下火锅,湖北
恨不得飞过去偷回来～,湖北
我就很少养出这么大花型的花毛茛，都是鸡蛋大小。换啥盆土都这样。,云南
"你别说, 真的很像, 我爱吃茼蒿",上海
第一次见这么矮的洋牡丹,江西
洋牡丹。。。,上海
跟那个蛋糕一样,上海
Qio 实很像茼蒿哒,四川
洋牡丹,内蒙古
吃吃吃就知道吃,上海
叶子像茼蒿,上海
p1和p2是洋牡丹，p3是仙客来，但具体的品种就不知道了,吉林
洋牡丹和仙客来,安徽
茼蒿开花也好漂亮的、其实也可以在绿化带种茼蒿，这样两用，冬天可以吃，春天可以开花、完美,广东
所以人们是怎么发现茼蒿可以吃，这个叶子不能吃呢,四川
哈哈哈哈，嗲额,日本
芹叶牡丹,德国
好像是花毛茛。有次单位搞活动，我得了一盆，结果没养几天烂根死了,湖北
绿化带系列,上海
明明是芹菜,甘肃
吃货眼里谁都是盘菜,上海
你还真别说,江苏
花毛茛，仙客来，玉兰（看看我的地栽花毛茛,浙江
洋牡丹：我长得那么美，你说我是茼蒿,上海
有点像花毛茛,上海
哈哈绿化带的花都好看,江苏
茼蒿茼蒿花可漂亮了,广西
第一次觉得洋牡丹像牡丹花了，之前还说咋这名字，感觉一点不像呢,河北
虽然长得像但是不兴吃啊,天津
洋牡丹！,广东
洋牡丹，学名花毛茛,安徽
洋牡丹,广东
它甚至可以叫芹叶牡丹，结果叫人家茼蒿,山东
其实是芹菜开花,辽宁
还得是陆家嘴，绿化带是洋牡丹,上海
洋牡丹：怎么说我是茼蒿，我是芹菜,江苏
洋牡丹表示很委屈,上海
洋牡丹自此与茼蒿并入一家,浙江
洋牡丹，仙客来（？不确定），玉兰花。,上海
芍药还没到时候，要四五月份,上海
洋牡丹/毛茛，仙客来，紫玉兰,上海
毛茛，芹叶牡丹,广东
花毛茛,澳大利亚
肯定是做饭的男人,上海
花毛茛,广东
花毛茛,上海
茼蒿，摘了回去还能炒一盘,上海
毛莨,上海
茼蒿就长这样 我不管！,上海
反正都是我们交的税,湖北
这洋牡丹怎么短短的,上海
洋牡丹,上海
但真的很像蓬蒿呀,上海
毛茛,上海
洋牡丹：谢谢侬一家门,上海
洋牡丹,上海
花毛茛，又叫洋牡丹,新疆
稅花,上海
洋牡丹，仙客来，白玉兰,上海
你别说，你还真别说，真的像！！！,上海
大丽花吧,上海
脑补王子变青蛙里的发音:挡凹,上海
毛茛,上海
古人说的：茼蒿满地,上海
洋牡丹,上海
茼蒿其实比它好看,上海
哈哈哈哈哈哈哈哈花毛茛 又叫洋牡丹,浙江
周末经过拍了一张,上海
毛茛,上海
毛茛,上海
芹叶牡丹,上海
哈哈哈，可以炒一盘,上海
茼蒿：我身价也不便宜,浙江
早几年卖花的和我说叫芹菜花,上海
洋牡丹,上海
洋牡丹，花毛茛,上海
民族性中间的这一部分，是我们开展美育教育迫在眉睫的障碍，也是推动市场经济行稳致远的阻力。参见5朵玫瑰50块钱事件。,江苏
学名：花毛茛，昵称：洋牡丹,上海
花毛茛，又名洋牡丹,上海
花毛茛aka洋牡丹,上海
知道茼蒿这个菜已经不错了，很多人吃饭上来的菜都不认识，这是什么那是什么,上海
洋牡丹,上海
洋牡丹,上海
叶子是像茼蒿哈哈😄,上海
花毛茛吧,上海
专业软件的答案,上海
洋牡丹,上海
真的挺像茼蒿，哈哈哈,上海
花毛茛，又称洋牡丹,上海
洋牡丹！,上海
这叶子真的像，这俩男士还是知道菜的,上海
叶子还蛮像的，我中午吃的就是茼蒿,上海
图一图二是花毛茛/洋牡丹，图三是仙客来，图四是紫玉兰。,上海
我证明，就是茼蒿,上海
我税花,上海
叶子真的很像茼蒿,上海
,上海
花毛茛,上海
洋牡丹,上海
真好看呀 陆家嘴也有很多粉色郁金香的,上海
花毛茛,上海
真好看，想偷回家,上海
说不定就是一个种属的,加拿大
,上海
确实像蓬蒿,上海
我同事说我种的是芹菜,上海
洋牡丹啊,上海
洋牡丹,上海
这不是洋牡丹嘛,上海
茼蒿，干的漂亮,上海
洋牡丹,上海
不是叫税花吗？,上海
涮火锅,上海
哈哈哈哈，叶子是挺像那种长杆茼蒿的,上海
洋牡丹,上海
花毛茛，我国20世纪90年代开始引进的，原产地是欧洲和亚洲西南部,上海
,上海
,上海
,北京
,上海
,上海
,上海
花毛茛，好看，就是臭,湖北
上海人民的素质真高，我就怕在我们这儿，种在绿化带里会被人采摘,湖南
哈哈哈哈,浙江
洋牡丹:四眼仔，你说我是茼蒿？你全家都是茼蒿！！！！,云南
,湖北
哈哈哈哈哈哈,上海
哈哈哈哈哈哈哈,上海
我在关在家里那几个月，真的吃了一下这个，难吃得要死,上海
胡说！是芹菜！,上海
哈哈哈哈哈哈哈哈哈,广东
没说错啊，是像茼蒿啊，你怕不是没见过茼蒿吧,浙江
哈哈哈哈,上海
花毛茛,上海
洋牡丹,上海
花毛茛,美国
花毛茛,重庆
洋牡丹,山西
花毛茛，又叫洋牡丹,上海
毛茛,云南
毛花茛，洋牡丹,广东
花毛茛,上海
洋牡丹,上海
花毛茛，洋牡丹,上海
花毛茛，洋牡丹,河南
花毛茛,重庆
花毛茛,北京
花毛茛,江苏
毛茛,安徽
花毛茛,江西
