data_year,district,park_addr,park_area,park_name
2024,崇明区,崇明区第三人民医院周边,2538,康养小苑
2021,黄浦区,西藏中路与北京西路交界处,9000,大观园绿地
2021,黄浦区,半淞园路南浦大桥下,3594,蓝调花园
2021,徐汇区,乐山新村内(乐山路乐山支路),5598,乐山花园
2021,普陀区,真北路近华灵路,3600,玉兰园（普陀）
2021,虹口区,三河路300号甲,8200,三河路300号甲绿地
2021,杨浦区,军工路1310号,5000,军工路环岛绿地
2021,宝山区,美文路北侧、规划罗店路西侧,24900,美文路小游园
2021,浦东新区,金京路佳乐路路口,5600,金桥镇樱花公园
2021,金山区,蒙山路沪杭公路路口,3600,临蒙花园
2022,浦东新区,环林西路春延路东南角,6420,邻里绿地
2022,浦东新区,南祝路人民东路路口,3500,佳华园
2022,浦东新区,耀华路长清路口西北角,1783,东篱园
2022,徐汇区,乐山新村内(乐山路乐山支路),5598,乐山花园
2022,徐汇区,零陵路天钥桥路路口,4600,天钥桥路小游园
2022,长宁区,水城路219号（水城路虹古路西北角）,4561,伊水园
2022,静安区,共和新路736号,4206,芷江花园
2022,普陀区,真北路近华灵路,3600,玉兰园（普陀）
2022,普陀区,大渡河路梅岭北路口,6298,梅川园
2022,虹口区,大名路武昌路路口,2824,北外滩城市花甸
2022,闵行区,雅清路与沪闵公路之间,3665,雅清园
2022,嘉定区,嘉定城墙遗址（西水关）南侧30米,3400,栖霞苑
2022,松江区,人乐小区实验小学旁,5000,人乐花园
2022,青浦区,万寿一路以南，万寿路以东,3485,万寿小花园
2023,浦东新区,杨思路东侧（杨思港-灵岩南路）,2300,田心花园
2023,浦东新区,拱极路政海路路口,3040,凤景园
2023,浦东新区,五莲路凌河路北侧,7900,精彩园
2023,浦东新区,三林路北侧（凌兆路530弄小区南侧）,5876,伴景园
2023,浦东新区,祖冲之路科苑路东南角,7957,π园
2023,浦东新区,由由世纪广场北侧,5478,彩塘绿园
2023,黄浦区,西藏中路与北京西路交界处,9000,大观园绿地
2023,静安区,石门一路南京西路西南角,1745,同福花园
2023,杨浦区,昆明路荆州路东北角,3100,荆园
2023,闵行区,莲花南路西，沪闵路地道南侧,5000,梅陇莲花园
2023,闵行区,七莘路东淀浦河北,3584,精致花园
2023,闵行区,浦秀路江柳路路口,5179,悠乐园
2023,嘉定区,环城河外圈嘉定东门吊桥南侧,9400,落英湾
2023,奉贤区,南中路立新路东南角,3010,中街花园
2023,松江区,谷阳北路思贤路西北角,6000,信贤园
2023,金山区,龙轩路海丰路西南角,5546,海丰花园
2023,崇明区,城桥镇西引路中段东侧（南至人民路，北至北门路）,3259,城西公园
2024,浦东新区,人民西路南侧（听潮路-城西路）,3000,听潮园
2024,浦东新区,栩妙路陶桥路路口,3000,栩妙园
2024,浦东新区,环林西路春延路东南角,6420,邻里绿地
2024,浦东新区,杨高中路民生路西北侧,4790,思贤园
2024,黄浦区,董家渡会馆街38号,4716,商船会馆花园
2024,徐汇区,复兴中路1380号,6139,交响乐团小游园
2024,静安区,南京西路青海路东南角,3510,拾影花园
2024,普陀区,中山北路光新路东南角,2230,明珠园
2024,虹口区,临平北路101号,1800,临平绿地
2024,虹口区,汶水东路690弄小区内,3747,汶绣园
2024,闵行区,永德路北侧、樱桃河路东侧、吴泾派出所西侧,4211,吴泾永德花园
2024,宝山区,尚北路福双路西北角,4790,福尚小游园
2024,松江区,文翔路辰塔路西北角,5530,鹿麓园
2024,金山区,金山大道卫零北路东北角,4678,金电花园
2024,崇明区,鼓浪屿路花鸟路西北角,6530,水岸景庭花园
2024,浦东新区,晨阳路凌空路路口,9900,江月园
2024,浦东新区,妙境路妙川路西南角,6332,川韵园
2024,浦东新区,华东路上川路东南角,7285,紫陌园
2021,黄浦区,复兴东路、河南南路口（西南）,3900,小桃园绿地
2021,虹口区,水木年华小区（广灵四路866号）北面,7400,水木年华北块绿地
2021,虹口区,大名路武昌路路口,2824,北外滩城市花甸
2021,杨浦区,宁国路内环高架旁，紧邻河间路,3929,红蓝花园
2021,浦东新区,东方路近东三里桥路(东方路2121号旁),3900,南码头花园
2022,浦东新区,拱极路政海路路口,3040,凤景园
2022,黄浦区,淮海中路、重庆南路口,4250,四明里绿地
2022,黄浦区,复兴中路瑞金二路路口,1848,民防苑治愈花园
2022,徐汇区,衡山路建国西路路口,1455,衡山花园
2022,静安区,南京西路永源路路口,4257,永源浜花园
2022,闵行区,沪闵路颛盛路西南角,5000,沪闵沁芳园
2022,宝山区,长逸路南侧兴淞桥西侧,4500,郝桥港小游园
2022,金山区,龙轩路海丰路西南角,5546,海丰花园
2022,崇明区,长兴镇先进村委南侧、凤滨路北侧,3285,先进花园
2023,浦东新区,沈家弄路金囡幼儿园对面,4143,泾西绿地
2023,浦东新区,世博大道上南路东南角,3100,云朵花园
2023,黄浦区,南临交通银行、西临中山南路东接外马路,1616,藤蔓花园
2023,徐汇区,乌鲁木齐中路、复兴西路 、淮海中路三岔口,2200,乌中绿地
2023,徐汇区,兴国路、湖南路、高邮路交汇处,7396,兴国小游园
2023,长宁区,北翟路哈密路路口,3923,斑马绿地
2023,静安区,余姚路康定路路口,5300,曹家渡花园
2023,虹口区,水木年华小区（广灵四路866号）北面,7400,水木年华北块绿地
2023,虹口区,汶水东路南侧（凉城路-水电路）,3580,秋光里
2023,杨浦区,长阳路、宁国路西南角,3100,长阳路宁国路公共绿地
2023,青浦区,城中东路保安路东南角,4875,保安苑
2024,浦东新区,博兴路柳埠路路口,4623,博兴园
2024,浦东新区,世纪大道陆家嘴环路,7500,世纪大道柳园
2024,浦东新区,五莲路凌河路北侧,7900,精彩园
2024,浦东新区,杨高路龙阳路立交、南匝道内圈,3494,桥荫里·玉兰园
2024,黄浦区,西藏中路与北京西路交界处,9000,大观园绿地
2024,黄浦区,黄陂北路威海路路口,5000,森邻公园
2024,长宁区,北翟路福泉路路口,3002,家园
2024,普陀区,金沙江路丹巴路路口,925,丹巴花园
2024,杨浦区,长阳路、宁国路西南角,3100,长阳路宁国路公共绿地
2024,杨浦区,淞沪路与智星路之间、政民路北侧,4466,缤纷广场
2024,杨浦区,吉浦路仁德路路口,2711,吉浦广场
2024,宝山区,殷高西路江杨南路东南角,2560,百安园
2021,黄浦区,龙华东路、西藏南路,6600,龙华东路台地花园
2021,徐汇区,淮海中路、东湖路路口,4400,东湖绿地
2021,虹口区,临平北路101号,1800,临平绿地
2022,浦东新区,上南路浦东南路东南角,2000,观渡
2022,浦东新区,盛苑路高青路东北角,8000,盛苑
